Date,Percent Change in DJI Close Prices,DJI: High Price - Low Price (Range)
2020-12-14,0,[172.40039062]
2020-12-11,[-0.00670043],[250.29101562]
2020-12-10,[-0.00156789],[187.04882812]
2020-12-09,[0.00231842],[367.84960938]
2020-12-08,[0.00349433],[274.15039062]
2020-12-07,[-0.00344973],[265.80859375]
2020-12-04,[0.00493754],[228.69921875]
2020-12-03,[-0.00823145],[233.61132812]
2020-12-02,[-0.00286059],[303.22070312]
2020-12-01,[-0.0020034],[285.81054688]
2020-11-30,[-0.00621244],[390.86914062]
2020-11-27,[0.00916805],[195.15039062]
2020-11-25,[-0.00126707],[252.61914062]
2020-11-24,[0.00581705],[370.40039062]
2020-11-23,[-0.01514235],[334.9296875]
2020-11-20,[-0.01107722],[238.69140625]
2020-11-19,[0.00750936],[296.51953125]
2020-11-18,[-0.00151987],[498.00976562]
2020-11-17,[0.01171699],[352.13085938]
2020-11-16,[0.00561018],[291.9296875]
2020-11-13,[-0.01571359],[355.34960938]
2020-11-12,[-0.01355642],[409.69921875]
2020-11-11,[0.01091675],[311.88867188]
2020-11-10,[0.00079221],[351.86914062]
2020-11-09,[-0.00893749],[803.16992188]
2020-11-06,[-0.02862237],[242.4609375]
2020-11-05,[0.00235774],[411.68164062]
2020-11-04,[-0.01910941],[788.66992188]
2020-11-03,[-0.0132015],[501.52148438]
2020-11-02,[-0.0201957],[352.20117188]
2020-10-30,[-0.01572703],[495.41015625]
2020-10-29,[0.00594341],[601.11132812]
2020-10-28,[-0.00521999],[604.75]
2020-10-27,[0.0355672],[249.72851562]
2020-10-26,[0.00809052],[815.66015625]
2020-10-23,[0.02348494],[286.69921875]
2020-10-22,[0.00099133],[381.13085938]
2020-10-21,[-0.00538858],[254.25]
2020-10-20,[0.00347274],[331.99023438]
2020-10-19,[-0.00400473],[572.52929688]
2020-10-16,[0.01457296],[272.1796875]
2020-10-15,[-0.00391911],[354.31054688]
2020-10-14,[0.00069491],[330.83007812]
2020-10-13,[0.00581506],[204.49023438]
2020-10-12,[0.00549895],[298.23046875]
2020-10-09,[-0.00869073],[235.65820312]
2020-10-08,[-0.00564561],[193.5703125]
2020-10-07,[-0.00429364],[398.30078125]
2020-10-06,[-0.0187504],[626.45117188]
2020-10-05,[0.01353416],[337.22070312]
2020-10-02,[-0.01654894],[478.49023438]
2020-10-01,[0.00484379],[372.20117188]
2020-09-30,[-0.00126546],[515.26953125]
2020-09-29,[-0.01184373],[267.50976562]
2020-09-28,[0.00478644],[360.45898438]
2020-09-25,[-0.01486727],[603.90820312]
2020-09-24,[-0.01319357],[557.83984375]
2020-09-23,[-0.00195069],[748.34179688]
2020-09-22,[0.01961836],[343.16015625]
2020-09-21,[-0.00514803],[769.56054688]
2020-09-18,[0.01877583],[458.71875]
2020-09-17,[0.00884249],[408.859375]
2020-09-16,[0.00467352],[343.09960938]
2020-09-15,[-0.0013121],[299.61132812]
2020-09-14,[-8.10674278e-05],[367.3203125]
2020-09-11,[-0.01170598],[380.66992188]
2020-09-10,[-0.0047373],[727.69921875]
2020-09-09,[0.01474112],[501.671875]
2020-09-08,[-0.01573274],[460.33007812]
2020-09-04,[0.02299634],[875.0703125]
2020-09-03,[0.00566659],[1124.58984375]
2020-09-02,[0.02855043],[449.3515625]
2020-09-01,[-0.01562997],[368.5390625]
2020-08-31,[-0.00752677],[280.109375]
2020-08-28,[0.0078726],[245.36914062]
2020-08-27,[-0.00563971],[270.29101562]
2020-08-26,[-0.00562783],[199.890625]
2020-08-25,[-0.00294652],[306.16992188]
2020-08-24,[0.00212477],[273.18945312]
2020-08-21,[-0.01335752],[272.70117188]
2020-08-20,[-0.00682411],[255.2109375]
2020-08-19,[-0.0016889],[272.75]
2020-08-18,[0.00307622],[222.33007812]
2020-08-17,[0.00240621],[183.41015625]
2020-08-14,[0.00309246],[218.41992188]
2020-08-13,[-0.00122798],[196.3203125]
2020-08-12,[0.00287199],[200.5703125]
2020-08-11,[-0.0103632],[530.37109375]
2020-08-10,[0.0037754],[315.6484375]
2020-08-07,[-0.01288019],[232.68945312]
2020-08-06,[-0.00169501],[248.84960938]
2020-08-05,[-0.00677187],[296.890625]
2020-08-04,[-0.01371426],[234.90039062]
2020-08-03,[-0.00611553],[172.87890625]
2020-07-31,[-0.00885376],[426.4296875]
2020-07-30,[-0.0043389],[382.65039062]
2020-07-29,[0.00858565],[227.05859375]
2020-07-28,[-0.0060397],[195.12890625]
2020-07-27,[0.00778984],[198.54101562]
2020-07-24,[-0.00432123],[222.83984375]
2020-07-23,[0.00689234],[413.81054688]
2020-07-22,[0.01326375],[241.05078125]
2020-07-21,[-0.00612606],[259.16015625]
2020-07-20,[-0.0059437],[260.8203125]
2020-07-17,[-0.00033432],[188.54882812]
2020-07-16,[0.0023531],[289.15039062]
2020-07-15,[0.00506415],[378.84960938]
2020-07-14,[-0.00846702],[695.5390625]
2020-07-13,[-0.02089846],[594.859375]
2020-07-10,[-0.00040252],[463.8203125]
2020-07-09,[-0.01415941],[579.76953125]
2020-07-08,[0.01405073],[293.24023438]
2020-07-07,[-0.00679394],[308.34960938]
2020-07-06,[0.01532819],[301.44921875]
2020-07-02,[-0.01748657],[426.29101562]
2020-07-01,[-0.00357716],[305.70117188]
2020-06-30,[0.0030274],[430.24023438]
2020-06-29,[-0.00840976],[504.99023438]
2020-06-26,[-0.02266973],[670.66015625]
2020-06-25,[0.0291838],[559.8203125]
2020-06-24,[-0.01163928],[696.23046875]
2020-06-23,[0.02790858],[209.]
2020-06-22,[-0.00501369],[392.13085938]
2020-06-19,[-0.00589818],[691.77929688]
2020-06-18,[0.00806443],[305.66992188]
2020-06-17,[0.00151494],[331.66015625]
2020-06-16,[0.00652273],[799.33007812]
2020-06-15,[-0.02003882],[1048.40039062]
