Date,Value
2020-11-28,4.16
2020-11-21,-9.23
2020-11-14,-4.41
2020-11-07,-6.3
2020-10-31,-5.87
2020-10-24,-7.68
2020-10-17,-7.66
2020-10-10,-9.85
2020-10-03,-11.29
2020-09-26,-11.56
2020-09-19,-6.02
2020-09-12,0.0
2020-09-05,-5.88
2020-08-29,1.9
2020-08-22,-8.28
2020-08-15,-1.81
2020-08-08,-4.66
2020-08-01,-3.79
2020-07-25,-5.08
2020-07-18,4.95
2020-07-11,-6.66
2020-07-04,-2.57
2020-06-27,-5.33
2020-06-20,-2.45
2020-06-13,-5.21
2020-06-06,-1.54
2020-05-30,-3.11
2020-05-23,2.05
2020-05-16,-16.34
2020-05-09,10.48
2020-05-02,0.76
2020-04-25,24.24
2020-04-18,13.86
2020-04-11,32.78
2020-04-04,60.01
2020-03-28,143.41
2020-03-21,71.47
2020-03-14,4.82
2020-03-07,0.18
2020-02-29,-1.22
2020-02-22,1.59
2020-02-15,-2.08
2020-02-08,3.04
2020-02-01,-4.28
2020-01-25,2.88
2020-01-18,-1.79
2020-01-11,-1.36
2020-01-04,-0.9
2019-12-28,2.72
