Date,Value
2020-12-05,19.13
2020-11-28,-9.02
2020-11-21,5.21
2020-11-14,5.2
2020-11-07,-6.08
2020-10-31,-0.13
2020-10-24,-4.89
2020-10-17,-5.34
2020-10-10,9.78
2020-10-03,-9.66
2020-09-26,-2.75
2020-09-19,0.81
2020-09-12,-3.02
2020-09-05,1.02
2020-08-29,-12.56
2020-08-22,-8.42
2020-08-15,13.7
2020-08-08,-18.47
2020-08-01,-17.0
2020-07-25,0.91
2020-07-18,8.72
2020-07-11,-0.15
2020-07-04,-6.96
2020-06-27,-4.99
2020-06-20,-3.77
2020-06-13,-1.66
2020-06-06,-17.45
2020-05-30,-10.65
2020-05-23,-13.21
2020-05-16,-8.97
2020-05-09,-15.4
2020-05-02,-17.87
2020-04-25,-12.94
2020-04-18,-15.18
2020-04-11,-20.83
2020-04-04,-3.67
2020-03-28,107.65
2020-03-21,1072.7
2020-03-14,33.65
2020-03-07,-2.76
2020-02-29,-1.36
2020-02-22,2.33
2020-02-15,5.39
2020-02-08,1.49
2020-02-01,-5.19
2020-01-25,-3.64
2020-01-18,6.28
2020-01-11,-2.36
2020-01-04,-3.64
