Date,Value
2020-12-05,853000
2020-11-28,716000
2020-11-21,787000
2020-11-14,748000
2020-11-07,711000
2020-10-31,757000
2020-10-24,758000
2020-10-17,797000
2020-10-10,842000
2020-10-03,767000
2020-09-26,849000
2020-09-19,873000
2020-09-12,866000
2020-09-05,893000
2020-08-29,884000
2020-08-22,1011000
2020-08-15,1104000
2020-08-08,971000
2020-08-01,1191000
2020-07-25,1435000
2020-07-18,1422000
2020-07-11,1308000
2020-07-04,1310000
2020-06-27,1408000
2020-06-20,1482000
2020-06-13,1540000
2020-06-06,1566000
2020-05-30,1897000
2020-05-23,2123000
2020-05-16,2446000
2020-05-09,2687000
2020-05-02,3176000
2020-04-25,3867000
2020-04-18,4442000
2020-04-11,5237000
2020-04-04,6615000
2020-03-28,6867000
2020-03-21,3307000
2020-03-14,282000
2020-03-07,211000
2020-02-29,217000
2020-02-22,220000
2020-02-15,215000
2020-02-08,204000
2020-02-01,201000
2020-01-25,212000
2020-01-18,220000
2020-01-11,207000
2020-01-04,212000
2019-12-28,220000
